UUID,DateTime,GameType,PromptType,PromptVersion,GameNumber,Player1,Player2,Result,GameDuration,TotalMoves,Player1Moves,Player2Moves,Player1MovesPerWin,Player2MovesPerWin,Player1InvalidAlreadyTaken,Player2InvalidAlreadyTaken,Player1InvalidFormat,Player2InvalidFormat,Player1OutOfBounds,Player2OutOfBounds
"01900ed0-0b51-7c84-9404-00597eca77a6","240612-193742","connect-four","list","2024-06-12",1,"gpt-4-turbo","gemini-1.5-pro","winner1st",29,21,11,10,11,0,3,3,0,0,0,0
"01900ed0-0b51-7c84-9404-00597eca77a6","240612-193812","connect-four","list","2024-06-12",2,"gpt-4-turbo","gemini-1.5-pro","winner1st",24,19,10,9,10,0,2,2,0,0,0,0
"01900ed0-0b51-7c84-9404-00597eca77a6","240612-193857","connect-four","list","2024-06-12",3,"gpt-4-turbo","gemini-1.5-pro","winner1st",39,27,14,13,14,0,3,3,0,0,0,0
"01900ed0-0b51-7c84-9404-00597eca77a6","240612-193929","connect-four","list","2024-06-12",4,"gpt-4-turbo","gemini-1.5-pro","winner2nd",26,18,10,8,0,8,3,1,0,0,0,0
"01900ed0-0b51-7c84-9404-00597eca77a6","240612-194000","connect-four","list","2024-06-12",5,"gpt-4-turbo","gemini-1.5-pro","winner1st",25,17,9,8,9,0,2,2,0,0,0,0
"01900ed2-adb0-7041-8478-4dc61b8eded8","240612-194018","connect-four","list","2024-06-12",1,"gpt-4-turbo","gemini-1.5-flash","winner1st",12,9,5,4,5,0,0,0,0,0,0,0
"01900ed2-adb0-7041-8478-4dc61b8eded8","240612-194102","connect-four","list","2024-06-12",2,"gpt-4-turbo","gemini-1.5-flash","winner2nd",37,29,17,12,0,12,5,0,0,0,0,0
"01900ed2-adb0-7041-8478-4dc61b8eded8","240612-194119","connect-four","list","2024-06-12",3,"gpt-4-turbo","gemini-1.5-flash","winner1st",11,9,5,4,5,0,0,0,0,0,0,0
"01900ed2-adb0-7041-8478-4dc61b8eded8","240612-194137","connect-four","list","2024-06-12",4,"gpt-4-turbo","gemini-1.5-flash","winner1st",12,9,5,4,5,0,0,0,0,0,0,0
"01900ed2-adb0-7041-8478-4dc61b8eded8","240612-194227","connect-four","list","2024-06-12",5,"gpt-4-turbo","gemini-1.5-flash","winner1st",43,31,19,12,19,0,6,0,0,0,0,0
"01900ed4-ea9f-7ad0-bf62-513552559f43","240612-194256","connect-four","list","2024-06-12",1,"gpt-4-turbo","meta.llama3-70b-instruct-v1:0","winner1st",23,9,5,4,5,0,0,0,0,0,0,0
"01900ed4-ea9f-7ad0-bf62-513552559f43","240612-195014","connect-four","list","2024-06-12",2,"gpt-4-turbo","meta.llama3-70b-instruct-v1:0","networkerror",380,3,1,1,0,0,0,0,0,0,0,0
"01900ed4-ea9f-7ad0-bf62-513552559f43","240612-195033","connect-four","list","2024-06-12",3,"gpt-4-turbo","meta.llama3-70b-instruct-v1:0","winner1st",14,9,5,4,5,0,0,0,0,0,0,0
"01900ed4-ea9f-7ad0-bf62-513552559f43","240612-195051","connect-four","list","2024-06-12",4,"gpt-4-turbo","meta.llama3-70b-instruct-v1:0","winner1st",11,9,5,4,5,0,0,0,0,0,0,0
"01900ed4-ea9f-7ad0-bf62-513552559f43","240612-195110","connect-four","list","2024-06-12",5,"gpt-4-turbo","meta.llama3-70b-instruct-v1:0","winner1st",13,9,5,4,5,0,0,0,0,0,0,0
